AR_A
1822,128,1830,89,1866,97,1857,137,164.884,Primary
1781,226,1791,189,1823,200,1813,237,165.244,Primary
1745,328,1756,294,1785,307,1775,341,165.573,Primary
1741,396,1753,364,1781,378,1770,410,165.935,Primary
1742,467,1757,435,1784,452,1770,483,166.29,Primary
1766,562,1783,531,1810,550,1794,581,166.642,Primary
1789,641,1808,610,1835,632,1816,662,166.984,Primary
1804,696,1825,666,1852,690,1831,719,167.345,Primary
1818,789,1843,761,1868,787,1844,816,167.655,Primary
1845,873,1873,846,1898,876,1870,902,168.007,Primary
103,967,102,1002,72,997,73,963,183.681,Primary
141,952,140,986,111,981,112,947,184.075,Primary
140,952,139,986,109,981,110,947,184.426,Primary
127,952,126,985,95,981,95,947,184.754,Primary
72,980,71,1015,36,1011,37,975,185.075,Primary
325,10,363,38,340,76,302,49,246.702,Primary
226,141,269,162,252,205,209,184,247.013,Primary
201,196,245,214,232,258,187,240,247.354,Primary
206,241,251,259,237,302,193,285,247.652,Primary
233,210,276,231,259,273,216,252,247.997,Primary
349,68,383,98,356,134,321,104,248.322,Primary
436,34,461,70,425,94,399,59,248.621,Primary
394,71,420,107,379,129,353,93,248.978,Primary
364,122,391,157,351,180,324,146,249.346,Primary
332,191,361,223,324,250,294,218,249.675,Primary
308,237,343,266,310,298,275,268,249.992,Primary
307,260,345,288,315,322,278,294,250.34,Primary
320,295,359,320,334,356,295,331,250.686,Primary
330,303,370,328,347,365,307,341,251.005,Primary
345,304,385,328,363,366,322,342,251.373,Primary
382,312,422,336,400,373,360,350,251.701,Primary
413,317,452,341,430,378,391,355,252.055,Primary
444,328,483,352,460,388,422,365,252.44,Primary
487,346,524,369,502,405,464,381,252.783,Primary
523,377,559,399,537,435,500,412,253.137,Primary
559,403,596,425,574,460,537,438,253.506,Primary
65,241,157,295,102,385,10,331,253.745,Secondary
601,420,637,441,616,477,579,456,253.836,Primary
164,265,254,318,201,409,110,356,254.088,Secondary
640,430,676,451,656,486,619,465,254.187,Primary
278,283,368,336,315,425,225,372,254.467,Secondary
686,437,722,458,701,493,666,473,254.533,Primary
379,303,469,355,418,444,328,393,254.811,Secondary
727,445,762,465,742,501,707,481,254.883,Primary
565,476,659,504,631,601,537,572,255.228,Secondary
801,515,839,526,828,564,791,553,255.26,Primary
703,487,800,502,787,601,690,586,255.524,Secondary
857,519,895,524,890,564,852,558,255.596,Primary
744,473,841,490,825,589,728,572,255.842,Secondary
873,513,912,520,905,559,867,552,255.909,Primary
745,464,842,487,820,585,724,563,256.182,Secondary
874,510,912,518,904,557,865,548,256.196,Primary
703,451,798,481,770,578,674,548,256.45,Secondary
856,505,894,516,883,555,846,543,256.525,Primary
625,441,721,475,687,572,592,537,256.777,Secondary
826,500,864,514,850,552,812,538,256.861,Primary
565,419,658,462,616,556,523,513,257.126,Secondary
801,491,838,508,822,545,785,529,257.218,Primary
513,387,603,438,553,528,463,478,257.483,Secondary
780,479,816,499,797,535,761,515,257.581,Primary
472,368,559,425,504,512,417,455,257.844,Secondary
764,471,799,494,777,528,742,505,257.938,Primary
429,362,512,425,451,507,367,444,258.222,Secondary
746,469,780,494,756,526,722,501,258.26,Primary
394,347,472,417,404,494,326,424,258.53,Secondary
732,463,764,491,737,521,706,493,258.595,Primary
344,350,418,425,345,497,271,423,258.859,Secondary
712,464,742,493,713,522,684,493,258.918,Primary
230,355,301,438,219,506,147,424,259.177,Secondary
667,466,695,499,663,526,634,493,259.26,Primary
148,399,212,488,119,550,54,461,259.534,Secondary
634,483,660,519,622,543,597,508,259.602,Primary
608,478,632,515,592,538,568,500,259.953,Primary
110,362,162,459,60,509,7,412,260.25,Secondary
619,469,639,508,599,527,578,488,260.307,Primary
170,324,213,424,109,465,66,364,260.614,Secondary
643,453,660,493,619,509,602,469,260.676,Primary
229,286,263,388,158,420,124,318,260.934,Secondary
666,438,680,479,639,491,625,451,261.004,Primary
278,278,307,382,202,409,172,305,261.271,Secondary
686,435,698,476,656,487,644,445,261.356,Primary
355,272,374,377,268,395,248,290,261.613,Secondary
717,432,724,474,683,481,675,439,261.685,Primary
433,281,444,386,338,396,328,291,261.922,Secondary
748,436,752,478,711,482,706,440,261.993,Primary
509,315,515,419,410,425,405,321,262.253,Secondary
779,450,781,491,740,493,738,452,262.32,Primary
581,333,577,436,474,433,477,329,262.567,Secondary
