X (m), Y (m), Time (s), Phase, Time
18.5233,15.573,195.182, Search, 195.182000000
18.39,15.6381,195.682, Trail, 195.682000000
18.2915,16.1982,196.182, Coarse, 196.182000000
19.2007,16.1306,196.682, Coarse, 196.682000000
20.2971,17.7958,197.183, Coarse, 197.183000000
18.7436,18.01,197.682, Coarse, 197.682000000
18.3991,16.2337,198.182, Coarse, 198.182000000
19.7639,15.6272,198.683, Coarse, 198.683000000
19.6935,16.0855,199.183, Coarse, 199.183000000
18.9945,16.233,199.683, Coarse, 199.683000000
18.5852,15.9598,200.182, Coarse, 200.182000000
18.1775,15.8351,200.682, Coarse, 200.682000000
17.8727,15.589,201.182, Coarse, 201.182000000
18.2849,15.5594,201.682, Coarse, 201.682000000
18.7194,15.7066,202.182, Coarse, 202.182000000
18.6785,15.7509,202.683, Coarse, 202.683000000
19.0484,15.6356,203.182, Coarse, 203.182000000
18.7369,15.742,203.682, Coarse, 203.682000000
18.0378,15.597,204.192, Coarse, 204.192000000
17.7198,15.7513,204.683, Coarse, 204.683000000
18.1522,16.0289,205.188, Coarse, 205.188000000
18.077,15.6767,205.689, Coarse, 205.689000000
18.0341,15.3562,206.185, Coarse, 206.185000000
17.9413,14.9727,206.683, Coarse, 206.683000000
17.9258,14.739,207.183, Coarse, 207.183000000
17.9336,14.6356,207.683, Coarse, 207.683000000
17.904,14.6362,208.196, Coarse, 208.196000000
17.902,14.69,208.683, Coarse, 208.683000000
17.8447,15.018,209.182, Coarse, 209.182000000
17.6282,15.6456,209.682, Coarse, 209.682000000
17.2536,16.2113,210.182, Coarse, 210.182000000
17.1074,16.4008,210.697, Coarse, 210.697000000
17.2338,16.2285,211.183, Coarse, 211.183000000
17.2681,15.9645,211.682, Coarse, 211.682000000
17.431,15.7418,212.182, Coarse, 212.182000000
17.6347,15.5274,212.682, Coarse, 212.682000000
17.7689,15.4298,213.185, Coarse, 213.185000000
17.8648,15.4298,213.683, Coarse, 213.683000000
17.8784,15.4168,214.182, Coarse, 214.182000000
17.8477,15.442,214.682, Coarse, 214.682000000
17.8092,15.5089,215.185, Coarse, 215.185000000
17.821,15.5591,215.683, Coarse, 215.683000000
17.832,15.5824,216.183, Coarse, 216.183000000
17.8239,15.5537,216.682, Coarse, 216.682000000
17.7654,15.5147,217.182, Coarse, 217.182000000
17.7277,15.4742,217.682, Coarse, 217.682000000
17.6978,15.5037,218.182, Coarse, 218.182000000
17.7248,15.4731,218.682, Coarse, 218.682000000
17.7667,15.5158,219.182, Coarse, 219.182000000
17.8129,15.5916,219.682, Coarse, 219.682000000
17.8361,15.6946,220.183, Coarse, 220.183000000
17.8649,15.7754,220.682, Coarse, 220.682000000
17.9447,15.8053,221.182, Coarse, 221.182000000
17.983,15.8175,221.683, Coarse, 221.683000000
18.043,15.823,222.182, Coarse, 222.182000000
18.0747,15.8369,222.682, Coarse, 222.682000000
18.1488,15.8677,223.182, Coarse, 223.182000000
18.2054,15.8766,223.682, Coarse, 223.682000000
18.2638,15.8727,224.182, Coarse, 224.182000000
18.326,15.8663,224.682, Coarse, 224.682000000
18.3832,15.878,225.182, Coarse, 225.182000000
18.4582,15.8934,225.682, Coarse, 225.682000000
18.5038,15.8578,226.182, Coarse, 226.182000000
18.5642,15.8924,226.687, Fine, 226.687000000
19.0654,15.5169,227.182, Fine, 227.182000000
19.8798,15.6778,227.682, Fine, 227.682000000
18.984,15.4249,228.183, Fine, 228.183000000
18.7913,15.2981,228.682, Fine, 228.682000000
18.8203,15.2728,229.183, Fine, 229.183000000
18.7809,15.2715,229.682, Fine, 229.682000000
18.5454,15.4869,230.183, Fine, 230.183000000
17.7682,16.4986,230.682, Fine, 230.682000000
17.3205,17.399,231.182, Fine, 231.182000000
17.421,17.5551,231.682, Fine, 231.682000000
17.6407,17.045,232.182, Fine, 232.182000000
17.6183,16.6498,232.682, Fine, 232.682000000
18.0782,16.0092,233.183, Fine, 233.183000000
18.4204,16.0028,233.682, Fine, 233.682000000
18.2612,15.8892,234.183, Fine, 234.183000000
18.3569,15.9429,234.682, Fine, 234.682000000
18.372,15.8217,235.183, Fine, 235.183000000
18.4508,16.0624,235.683, Fine, 235.683000000
18.4098,16.2024,236.182, Fine, 236.182000000
18.2847,16.0552,236.683, Fine, 236.683000000
18.3193,15.9188,237.183, Fine, 237.183000000
18.354,15.7524,237.682, Fine, 237.682000000
18.3322,15.6793,238.182, Fine, 238.182000000
