X (m), Y (m), Time (s), Phase, Time
20.8189,10.7509,66.02, Search, 66.020000000
20.9989,11.1192,66.52, Trail, 66.520000000
20.8022,10.4653,67.021, Coarse, 67.021000000
20.358,9.80038,67.52, Coarse, 67.520000000
20.9919,10.7795,70.52, Search, 70.520000000
20.3009,11.3024,71.021, Trail, 71.021000000
20.9936,10.602,71.52, Coarse, 71.520000000
20.7442,10.629,72.02, Coarse, 72.020000000
20.8723,10.5652,72.52, Coarse, 72.520000000
21.1224,10.2185,73.02, Coarse, 73.020000000
21.1818,10.1911,73.52, Coarse, 73.520000000
21.2246,10.1126,74.02, Coarse, 74.020000000
21.2366,10.0034,74.52, Coarse, 74.520000000
21.2535,9.87177,75.02, Coarse, 75.020000000
21.3009,9.71723,75.52, Coarse, 75.520000000
21.3717,9.59112,76.021, Coarse, 76.021000000
21.4987,9.39323,76.523, Coarse, 76.523000000
21.6497,9.06557,77.02, Coarse, 77.020000000
21.7711,8.81658,77.52, Coarse, 77.520000000
21.7472,8.80029,78.02, Coarse, 78.020000000
21.531,9.23969,78.52, Coarse, 78.520000000
21.1581,9.74795,79.02, Coarse, 79.020000000
20.7505,10.0384,79.52, Coarse, 79.520000000
20.4105,10.059,80.021, Coarse, 80.021000000
20.2099,9.92895,80.52, Coarse, 80.520000000
20.1733,9.86141,81.02, Coarse, 81.020000000
20.2538,9.86759,81.52, Coarse, 81.520000000
20.3247,9.96259,82.021, Coarse, 82.021000000
20.3994,10.0351,82.52, Coarse, 82.520000000
20.4569,10.0964,83.021, Coarse, 83.021000000
20.5557,10.1334,83.52, Coarse, 83.520000000
20.5459,10.2404,84.02, Coarse, 84.020000000
20.4883,10.4516,84.52, Coarse, 84.520000000
20.4093,10.6107,85.021, Coarse, 85.021000000
20.3226,10.6951,85.52, Coarse, 85.520000000
20.3594,10.7154,86.02, Coarse, 86.020000000
20.4737,10.7069,86.52, Coarse, 86.520000000
20.723,10.6873,87.022, Coarse, 87.022000000
20.879,10.7032,87.52, Coarse, 87.520000000
20.9496,10.7339,88.02, Coarse, 88.020000000
20.9928,10.7954,88.536, Coarse, 88.536000000
20.999,10.8004,89.021, Coarse, 89.021000000
21.8758,11.9707,89.52, Coarse, 89.520000000
21.0206,10.9093,90.021, Coarse, 90.021000000
20.9337,10.6927,90.52, Coarse, 90.520000000
21.0672,10.829,91.022, Coarse, 91.022000000
21.2196,10.947,91.521, Coarse, 91.521000000
21.3161,11.1277,92.02, Coarse, 92.020000000
21.2167,10.8451,92.52, Coarse, 92.520000000
21.1856,10.5734,93.021, Coarse, 93.021000000
21.1576,10.5835,93.52, Coarse, 93.520000000
21.1359,10.6626,94.021, Coarse, 94.021000000
21.0244,10.75,94.52, Coarse, 94.520000000
20.9263,10.6433,95.02, Coarse, 95.020000000
20.861,10.5655,95.52, Coarse, 95.520000000
20.7448,10.5165,96.021, Coarse, 96.021000000
20.8423,10.3722,96.52, Coarse, 96.520000000
21.0664,10.157,97.02, Coarse, 97.020000000
21.2979,10.2335,97.52, Coarse, 97.520000000
21.4798,10.3869,98.02, Coarse, 98.020000000
21.6633,10.3096,98.524, Coarse, 98.524000000
21.8905,10.2275,99.02, Coarse, 99.020000000
22.2123,10.1356,99.52, Coarse, 99.520000000
22.5427,9.97491,100.021, Coarse, 100.021000000
22.8755,9.941,100.52, Coarse, 100.520000000
23.0276,9.89247,101.02, Coarse, 101.020000000
25.4003,7.81444,103.52, Search, 103.520000000
25.6344,7.95058,104.02, Fine, 104.020000000
25.4461,7.72931,104.52, Fine, 104.520000000
26.4763,6.80162,108.02, Search, 108.020000000
26.0328,6.72149,108.52, Fine, 108.520000000
25.4718,6.05546,109.021, Fine, 109.021000000
25.4264,4.83468,109.521, Fine, 109.521000000
25.4602,4.89328,110.021, Fine, 110.021000000
25.4067,5.26708,110.52, Fine, 110.520000000
25.0338,5.60381,111.021, Fine, 111.021000000
24.6774,5.73087,111.52, Fine, 111.520000000
24.1633,6.1764,112.021, Fine, 112.021000000
23.6947,6.30356,112.52, Fine, 112.520000000
21.9351,7.18907,113.021, Fine, 113.021000000
21.0269,7.11261,113.52, Fine, 113.520000000
21.0264,6.4837,114.02, Fine, 114.020000000
21.6434,6.07864,114.521, Fine, 114.521000000
21.6676,6.26205,115.021, Fine, 115.021000000
21.331,6.19564,115.521, Fine, 115.521000000
21.0808,6.41688,116.02, Fine, 116.020000000
20.7915,6.04224,116.52, Fine, 116.520000000
20.5607,5.71397,117.021, Fine, 117.021000000
20.3406,5.38243,117.521, Fine, 117.521000000
20.1953,4.89092,118.021, Fine, 118.021000000
20.0487,4.95853,118.521, Fine, 118.521000000
19.8726,5.41691,119.02, Fine, 119.020000000
20.1216,6.00557,119.52, Fine, 119.520000000
20.4473,6.28609,120.02, Fine, 120.020000000
20.7764,6.40142,120.52, Fine, 120.520000000
20.7282,6.49895,121.02, Fine, 121.020000000
20.7222,6.84177,121.521, Fine, 121.521000000
20.7334,7.24087,122.021, Fine, 122.021000000
21.0025,7.34355,122.52, Fine, 122.520000000
21.1229,7.33319,123.021, Fine, 123.021000000
21.377,7.35531,123.52, Fine, 123.520000000
21.9144,7.38091,124.02, Fine, 124.020000000
22.5227,7.3745,124.52, Fine, 124.520000000
23.0172,7.7305,125.02, Fine, 125.020000000
