X (m), Y (m), Z (m), Phase
11.3013,4.06576,8.709,Search, 72.698000000
12.5555,4.11189,8.726,Trail, 73.194000000
13.8552,4.16918,8.743,Coarse, 73.693000000
15.1912,4.22653,8.76,Coarse, 74.193000000
16.4091,4.25042,8.777,Coarse, 74.694000000
17.609,4.17442,8.978,Search, 77.193000000
17.1456,4.04063,9.152,Trail, 77.693000000
16.6187,3.88455,9.373,Coarse, 78.193000000
16.1735,3.76188,9.533,Coarse, 78.694000000
15.9008,3.7504,9.679,Coarse, 79.193000000
15.7553,3.79458,9.841,Coarse, 79.693000000
15.7463,3.75018,10.012,Coarse, 80.193000000
15.8647,3.6061,10.203,Coarse, 80.694000000
16.1013,3.40671,10.356,Coarse, 81.193000000
16.4196,3.25181,10.454,Coarse, 81.693000000
16.765,3.20791,10.512,Coarse, 82.194000000
17.1103,3.30826,10.543,Coarse, 82.693000000
17.4099,3.54169,10.56,Coarse, 83.193000000
17.6276,3.86377,10.57,Coarse, 83.693000000
17.7816,4.20795,10.576,Coarse, 84.193000000
17.863,4.55204,10.579,Coarse, 84.693000000
17.8807,4.87384,10.582,Coarse, 85.193000000
17.853,5.17339,10.584,Coarse, 85.693000000
17.789,5.4396,10.585,Coarse, 86.193000000
17.6705,5.71683,10.586,Coarse, 86.693000000
17.5065,6.00509,10.587,Coarse, 87.194000000
17.3152,6.29331,10.588,Coarse, 87.693000000
17.1057,6.58151,10.588,Coarse, 88.193000000
16.8963,6.86971,10.589,Coarse, 88.693000000
16.6868,7.15791,10.589,Coarse, 89.225000000
16.4774,7.42392,10.589,Coarse, 89.697000000
16.2589,7.65662,10.591,Coarse, 90.194000000
16.0405,7.87824,10.592,Coarse, 90.693000000
15.8221,8.06656,10.592,Coarse, 91.193000000
15.5855,8.23267,10.593,Coarse, 91.694000000
15.3399,8.37657,10.593,Coarse, 92.194000000
15.0761,8.50935,10.593,Coarse, 92.694000000
14.7942,8.60882,10.593,Coarse, 93.195000000
