X (m), Y (m), Z (m), Phase, Time
17.1402,9.87377,7.30458,Search, 66.020000000
17.6857,10.3281,7.36491,Trail, 66.520000000
18.7236,11.3328,7.48488,Coarse, 67.021000000
19.7122,12.4429,7.59782,Coarse, 67.520000000
21.7713,14.9243,7.94304,Search, 70.520000000
21.6957,14.7146,8.0025,Trail, 71.021000000
21.5679,14.3551,8.09088,Coarse, 71.520000000
21.5047,14.2017,8.15524,Coarse, 72.020000000
21.527,14.1656,8.26885,Coarse, 72.520000000
21.5595,14.1243,8.3894,Coarse, 73.020000000
21.5467,14.0343,8.50429,Coarse, 73.520000000
21.4714,13.8537,8.62319,Coarse, 74.020000000
21.3302,13.5654,8.75829,Coarse, 74.520000000
21.1377,13.1623,8.91836,Coarse, 75.020000000
20.9202,12.6423,9.10756,Coarse, 75.520000000
20.7123,12.0147,9.32548,Coarse, 76.021000000
20.5457,11.2888,9.56732,Coarse, 76.523000000
20.4527,10.4756,9.8267,Coarse, 77.020000000
20.4656,9.60066,10.0846,Coarse, 77.520000000
20.624,8.72462,10.3035,Coarse, 78.020000000
20.9421,7.9484,10.4581,Coarse, 78.520000000
21.3885,7.37607,10.5505,Coarse, 79.020000000
21.8892,7.04698,10.5992,Coarse, 79.520000000
22.3716,6.9291,10.6236,Coarse, 80.021000000
22.7874,6.96116,10.636,Coarse, 80.520000000
23.1105,7.08508,10.643,Coarse, 81.020000000
23.3385,7.26145,10.6472,Coarse, 81.520000000
23.4913,7.46883,10.6496,Coarse, 82.021000000
23.5836,7.69578,10.6519,Coarse, 82.520000000
23.6343,7.93745,10.6544,Coarse, 83.021000000
23.6561,8.19664,10.6562,Coarse, 83.520000000
23.6568,8.47923,10.6573,Coarse, 84.020000000
23.6349,8.79526,10.6581,Coarse, 84.520000000
23.5876,9.15352,10.6587,Coarse, 85.021000000
23.5159,9.55099,10.6594,Coarse, 85.520000000
23.4275,9.96748,10.6601,Coarse, 86.020000000
23.3322,10.3787,10.6607,Coarse, 86.520000000
23.238,10.7684,10.661,Coarse, 87.022000000
23.1423,11.1324,10.6611,Coarse, 87.520000000
23.0366,11.4763,10.6613,Coarse, 88.020000000
22.9132,11.8059,10.6615,Coarse, 88.536000000
22.7692,12.1259,10.6623,Coarse, 89.021000000
22.6051,12.433,10.6634,Coarse, 89.520000000
22.4211,12.7177,10.6641,Coarse, 90.021000000
22.2165,12.9762,10.6643,Coarse, 90.520000000
21.9931,13.204,10.6645,Coarse, 91.022000000
21.7758,13.4206,10.6646,Coarse, 91.521000000
21.5602,13.6044,10.6647,Coarse, 92.020000000
21.3404,13.7295,10.6647,Coarse, 92.520000000
21.1123,13.7943,10.6646,Coarse, 93.021000000
20.878,13.8131,10.6647,Coarse, 93.520000000
20.6388,13.8009,10.6646,Coarse, 94.021000000
20.3947,13.761,10.6646,Coarse, 94.520000000
20.1445,13.6828,10.6646,Coarse, 95.020000000
19.891,13.5634,10.6648,Coarse, 95.520000000
19.64,13.4065,10.6649,Coarse, 96.021000000
19.3902,13.2065,10.6648,Coarse, 96.520000000
19.1383,12.96,10.6649,Coarse, 97.020000000
18.8954,12.683,10.6651,Coarse, 97.520000000
18.6732,12.3897,10.6652,Coarse, 98.020000000
18.4787,12.0855,10.6652,Coarse, 98.524000000
18.3196,11.7656,10.6651,Coarse, 99.020000000
18.2032,11.4234,10.6654,Coarse, 99.520000000
18.1356,11.068,10.6663,Coarse, 100.021000000
18.1223,10.7139,10.6667,Coarse, 100.520000000
18.166,10.366,10.6669,Coarse, 101.020000000
19.165,9.0929,10.6663,Search, 103.520000000
19.485,9.18212,10.6659,Fine, 104.020000000
19.8813,9.38133,10.6627,Fine, 104.520000000
23.5893,8.709,10.6493,Search, 108.020000000
23.8586,8.5996,10.6487,Fine, 108.520000000
24.2491,8.55851,10.6384,Fine, 109.021000000
24.4519,8.73199,10.6208,Fine, 109.521000000
24.535,8.94548,10.611,Fine, 110.021000000
24.5893,9.04459,10.6077,Fine, 110.520000000
24.6513,8.99079,10.6087,Fine, 111.021000000
24.7357,8.78527,10.6122,Fine, 111.520000000
24.8465,8.43461,10.6181,Fine, 112.021000000
24.9854,7.94521,10.6268,Fine, 112.520000000
25.1402,7.33839,10.6377,Fine, 113.021000000
25.2711,6.65971,10.65,Fine, 113.520000000
25.3136,6.0794,10.6604,Fine, 114.020000000
25.2577,5.74731,10.6646,Fine, 114.521000000
25.0874,5.65204,10.6648,Fine, 115.021000000
24.8157,5.71336,10.6648,Fine, 115.521000000
24.4636,5.84105,10.6657,Fine, 116.020000000
24.0478,5.98299,10.6663,Fine, 116.520000000
23.5934,6.12916,10.6671,Fine, 117.021000000
23.1258,6.26047,10.6677,Fine, 117.521000000
22.671,6.35743,10.6679,Fine, 118.021000000
22.2458,6.41321,10.6679,Fine, 118.521000000
21.8597,6.41617,10.6678,Fine, 119.020000000
21.5167,6.36442,10.6678,Fine, 119.520000000
21.2436,6.23919,10.6677,Fine, 120.020000000
21.0541,6.04482,10.6675,Fine, 120.520000000
20.93,5.84487,10.6671,Fine, 121.020000000
20.8282,5.7136,10.6661,Fine, 121.521000000
20.7232,5.65894,10.6655,Fine, 122.021000000
20.6214,5.6643,10.6654,Fine, 122.520000000
20.5465,5.70071,10.6655,Fine, 123.021000000
20.5063,5.76443,10.6659,Fine, 123.520000000
20.4986,5.85755,10.6666,Fine, 124.020000000
20.5203,5.98908,10.6669,Fine, 124.520000000
20.5754,6.16741,10.667,Fine, 125.020000000
20.6662,6.38894,10.6673,Fine, 125.521000000
20.8027,6.62421,10.6676,Fine, 126.021000000
20.9891,6.83487,10.6675,Fine, 126.520000000
21.216,7.01107,10.6666,Fine, 127.020000000
21.4624,7.16532,10.666,Fine, 127.521000000
21.7163,7.31459,10.6657,Fine, 128.021000000
21.9741,7.46422,10.6656,Fine, 128.520000000
22.237,7.60639,10.6659,Search, 129.020000000
22.5092,7.73961,10.6667,Search, 129.521000000
22.784,7.87349,10.6668,Search, 130.021000000
22.957,7.97871,10.6628,Search, 130.521000000
22.9496,8.04115,10.6527,Search, 131.020000000
22.7664,8.08964,10.6387,Search, 131.520000000
22.4366,8.15626,10.6187,Search, 132.021000000
21.9843,8.26287,10.592,Search, 132.521000000
